"","hhid","hh_income_detailed","h_tract","lifecycle","personid","education","resptype","work_loc_tract","transitpay_upass","transitpay_access","transitpay_school","transit_subsidy","h_tract1"
"92",14100125,2,53033007300,3,1410012501,3,1,53033008200,-99,-99,-99,-99,73
"93",14100126,3,53033007300,4,1410012601,3,1,53033008100,-99,-99,-99,-99,73
"94",14100129,6,53033007401,6,1410012901,6,1,53033008100,-99,-99,-99,-99,74.01
"95",14100130,4,53033007402,3,1410013001,6,1,53033008100,-99,-99,-99,-99,74.02
"96",14100131,5,53033025301,6,1410013101,2,1,53033024800,-99,-99,-99,-99,253.01
"97",14100132,9,53033007402,3,1410013201,6,1,53033022803,-99,-99,-99,-99,74.02
"98",14100133,3,53033007500,6,1410013301,3,1,53033007600,-99,-99,-99,-99,75
"99",14100134,6,53033007500,4,1410013401,7,1,53033009400,-99,-99,-99,-99,75
"100",14100135,3,53033007500,4,1410013501,3,1,53033006600,-99,-99,-99,-99,75
"101",14100137,7,53033007500,3,1410013701,6,1,53033007300,-99,-99,-99,-99,75
"102",14100138,3,53033007500,6,1410013801,6,1,53033007700,-99,-99,-99,-99,75
"103",14100140,4,53033008001,5,1410014001,7,1,53033008500,-99,-99,-99,-99,80.01
"104",14100141,7,53033008001,8,1410014102,7,2,53033008001,-99,-99,-99,-99,80.01
"105",14100142,4,53033008002,3,1410014201,6,1,53033008002,-99,-99,-99,-99,80.02
"106",14100143,7,53033008002,3,1410014301,6,1,53033007300,-99,-99,-99,-99,80.02
"107",14100145,6,53033008100,6,1410014501,7,1,53033032309,-99,-99,-99,-99,81
"108",14100146,4,53033008400,4,1410014601,6,1,53033005302,-99,-99,-99,-99,84
"109",14100148,98,53033008100,6,1410014801,7,1,53033007402,-99,-99,-99,-99,81
"110",14100149,7,53033008600,6,1410014901,6,1,53033005801,-99,-99,-99,-99,86
"111",14100150,4,53033009200,4,1410015001,3,1,53033008200,-99,-99,-99,-99,92
"112",14100151,3,53033009200,3,1410015101,6,1,53033010300,-99,-99,-99,-99,92
"113",14100154,5,53061041601,2,1410015401,6,1,53033001200,-99,-99,-99,-99,416.01
"114",14100155,9,53061050402,2,1410015502,6,2,53033008500,-99,-99,-99,-99,504.02
"115",14100157,5,53061051200,2,1410015701,5,1,53061051500,-99,-99,-99,-99,512
"116",14100159,6,53061051803,8,1410015902,5,2,53033028402,-99,-99,-99,-99,518.03
"117",14100160,98,53061051914,2,1410016001,6,1,53033008100,-99,-99,-99,-99,519.14
"118",14100162,8,53061052004,2,1410016201,7,1,53061040700,-99,-99,-99,-99,520.04
"119",14100163,7,53061052105,7,1410016301,2,1,53033022802,-99,-99,-99,-99,521.05
"121",14100165,6,53061052203,2,1410016501,6,1,53061052204,-99,-99,-99,-99,522.03
"122",14100166,7,53033003000,7,1410016601,6,1,53061040700,-99,-99,-99,-99,30
"123",14100169,4,53061053400,1,1410016901,6,1,53061053301,-99,-99,-99,-99,534
"124",14100170,7,53061053400,7,1410017002,7,2,53061052904,-99,-99,-99,-99,534
"125",14100171,3,53061053504,2,1410017101,5,1,53061052803,-99,-99,-99,-99,535.04
"126",14100172,5,53061053802,2,1410017201,5,1,53061041304,-99,-99,-99,-99,538.02
"127",14100173,98,53061052503,7,1410017302,5,2,53061052604,-99,-99,-99,-99,525.03
"128",14100174,1,53053062400,7,1410017402,2,2,53033023601,0,0,0,5,624
"129",14100177,2,53053072311,4,1410017701,6,1,53053072311,NA,NA,NA,NA,723.11
"130",14100179,9,53033007200,6,1410017901,6,1,53033007200,0,0,0,NA,72
"131",14100180,5,53033007402,3,1410018001,7,1,53033008100,0,0,0,4,74.02
"132",14100182,3,53033007402,6,1410018201,7,1,53033007900,0,0,0,NA,74.02
"133",14100183,4,53033007900,4,1410018301,7,1,53033004400,0,0,0,5,79
"134",14100185,3,53033008200,4,1410018501,6,1,53033027200,0,0,0,5,82
"135",14100186,7,53033008200,4,1410018601,6,1,53033022803,0,0,0,3,82
"136",14100188,1,53033008600,1,1410018801,6,1,53033007200,0,0,0,5,86
"137",14100189,6,53033008600,6,1410018901,6,1,53033008200,NA,NA,NA,NA,86
"138",14100190,6,53033009000,6,1410019002,7,2,53033008100,0,0,0,4,90
"139",14100191,5,53033009400,2,1410019101,5,1,53033007500,NA,NA,NA,NA,94
"140",14100192,7,53033009400,7,1410019201,3,1,53033008100,0,0,0,4,94
"141",14100193,5,53033020500,2,1410019302,5,2,53033008002,NA,NA,NA,NA,205
"142",14100194,4,53033020500,4,1410019401,6,1,53033004000,NA,NA,NA,NA,205
"143",14100195,3,53033025200,5,1410019501,3,1,53033025005,NA,NA,NA,NA,252
"144",14100196,2,53033025302,4,1410019601,2,1,53033023804,0,0,0,5,253.02
"145",14100197,3,53033027600,3,1410019701,6,1,53033009600,NA,NA,NA,NA,276
"146",14100198,7,53033029203,2,1410019801,7,1,53033023403,NA,NA,NA,NA,292.03
"147",14100199,4,53033029408,7,1410019901,3,1,53033029503,NA,NA,NA,NA,294.08
"148",14100202,98,53033030504,6,1410020201,2,1,53053940003,NA,NA,NA,NA,305.04
"149",14100206,98,53035092500,2,1410020601,2,1,53035092300,NA,NA,NA,NA,925
"150",14100208,6,53053060904,7,1410020801,3,1,53053060300,NA,NA,NA,NA,609.04
"151",14100209,2,53053060905,6,1410020901,6,1,53033030404,NA,NA,NA,NA,609.05
"152",14100211,3,53033023000,2,1410021102,3,2,53061051925,NA,NA,NA,NA,230
"153",14100212,98,53033023000,2,1410021202,6,2,53033022803,0,0,0,NA,230
"154",14100213,8,53033023601,7,1410021301,1,1,53033022803,NA,NA,NA,NA,236.01
"155",14100215,4,53033000100,8,1410021502,7,2,53061050500,0,0,0,5,1
"156",14100217,8,53033023804,3,1410021701,7,1,53033022803,0,0,0,3,238.04
"157",14100220,5,53033002800,4,1410022001,7,1,53033004700,0,0,0,3,28
"158",14100221,98,53033003300,4,1410022101,3,1,53033001900,NA,NA,NA,NA,33
"159",14100222,9,53033004100,1,1410022201,6,1,53033009500,NA,NA,NA,NA,41
"160",14100223,8,53033004200,1,1410022301,7,1,53033008200,0,0,0,4,42
"161",14100224,2,53033004800,5,1410022401,3,1,53033002500,NA,NA,NA,NA,48
"162",14100225,98,53033004900,4,1410022501,6,1,53033008100,0,0,0,3,49
"163",14100226,6,53033004900,6,1410022601,6,1,53033007200,0,0,0,3,49
"164",14100228,5,53033005802,6,1410022801,6,1,53033008100,1,0,0,4,58.02
"165",14100230,5,53033006600,3,1410023001,7,1,53033023804,0,0,0,5,66
"166",14100231,3,53033006700,4,1410023101,6,1,53033007300,NA,NA,NA,NA,67
"167",14100232,98,53033007000,6,1410023201,6,1,53033009300,NA,NA,NA,NA,70
"168",14100233,5,53033007500,4,1410023301,6,1,53033008100,NA,NA,NA,NA,75
"169",14100235,8,53033009400,1,1410023501,7,1,53033008300,NA,NA,NA,NA,94
"170",14100238,7,53033022202,2,1410023802,6,2,53033023801,0,0,0,4,222.02
"171",14100240,6,53033027702,6,1410024001,7,1,53033010300,0,0,0,5,277.02
"172",14100244,3,53035091203,6,1410024401,6,1,53035091201,0,0,0,5,912.03
"173",14100245,6,53053071207,1,1410024501,3,1,53033026200,NA,NA,NA,NA,712.07
"174",14100247,4,53033022902,4,1410024701,3,1,53033006600,0,0,0,4,229.02
"175",14100248,98,53033024800,6,1410024801,6,1,53033022803,0,0,0,2,248
"176",14100250,5,53033001701,6,1410025001,6,1,53033005302,0,0,0,4,17.01
"177",14100251,7,53033002900,2,1410025102,7,2,53033007300,0,0,0,3,29
"178",14100253,6,53033003600,6,1410025301,7,1,53033005302,0,0,0,6,36
"179",14100254,5,53033004700,6,1410025402,6,2,53033008900,0,0,0,NA,47
"180",14100255,7,53033004700,4,1410025501,7,1,53033008600,NA,NA,NA,NA,47
"181",14100256,6,53033007100,7,1410025601,2,1,53033005801,0,0,0,NA,71
"182",14100258,98,53033007000,4,1410025801,7,1,53061051804,0,0,0,3,70
"183",14100260,3,53033007200,4,1410026001,6,1,53033004900,0,0,0,NA,72
"184",14100261,1,53033006500,6,1410026101,6,1,53033022803,0,0,0,3,65
"185",14100264,98,53033008100,4,1410026401,7,1,53033026200,NA,NA,NA,NA,81
"186",14100265,5,53033008400,4,1410026501,6,1,53033023804,0,0,0,4,84
"187",14100266,3,53033008500,7,1410026601,2,1,53033023700,0,0,0,5,85
"188",14100267,6,53033009900,7,1410026701,6,1,53033007200,0,0,0,NA,99
"189",14100268,10,53033010300,2,1410026801,7,1,53033010300,NA,NA,NA,NA,103
"190",14100269,98,53033010500,7,1410026901,6,1,53061041901,0,0,0,5,105
"191",14100270,8,53033010600,6,1410027001,3,1,53033007100,0,0,0,3,106
"192",14100271,4,53033010600,2,1410027101,6,1,53033008200,0,0,0,NA,106
"193",14100272,4,53033022005,7,1410027202,7,2,53061050900,NA,NA,NA,NA,220.05
"194",14100274,98,53033026002,2,1410027401,6,1,53033025302,NA,NA,NA,NA,260.02
"195",14100275,98,53033027701,7,1410027501,6,1,53033026300,NA,NA,NA,NA,277.01
"196",14100276,98,53033032309,4,1410027601,6,1,53033032313,NA,NA,NA,NA,323.09
"197",14100277,6,53035090101,7,1410027701,6,1,53033028402,0,0,0,5,901.01
"198",14100278,5,53035090101,7,1410027801,2,1,53035090101,0,0,0,NA,901.01
"199",14100282,9,53033004100,2,1410028201,7,1,53033008100,NA,NA,NA,NA,41
"200",14100283,10,53033005600,7,1410028302,7,2,53033008500,0,0,0,3,56
"201",14100284,8,53033005900,8,1410028401,7,1,53033007200,0,0,0,5,59
"202",14100285,5,53033009800,7,1410028501,4,1,53033008200,0,0,0,3,98
"203",14100286,98,53033009800,6,1410028601,6,1,53033009200,0,0,0,5,98
"204",14100288,2,53033011401,7,1410028802,2,2,53033003200,0,0,0,NA,114.01
"205",14100289,7,53033011600,7,1410028901,7,1,53033028300,NA,NA,NA,NA,116
"206",14100292,6,53033021000,6,1410029201,6,1,53033005302,1,0,0,4,210
"207",14100295,7,53033022001,6,1410029501,7,1,53033007300,0,0,0,3,220.01
"208",14100296,5,53033022201,6,1410029601,3,1,53033008200,NA,NA,NA,NA,222.01
"209",14100298,98,53033022500,8,1410029801,6,1,53033023804,0,0,0,NA,225
"210",14100299,5,53033022605,4,1410029901,6,1,53033022605,0,0,0,NA,226.05
"211",14100300,10,53033022703,7,1410030001,6,1,53053061900,0,0,0,4,227.03
"212",14100303,7,53033025001,6,1410030301,6,1,53033008500,NA,NA,NA,NA,250.01
"213",14100304,5,53033026400,7,1410030401,2,1,53033009200,0,0,0,5,264
"214",14100306,98,53033028600,8,1410030601,6,1,53033027900,NA,NA,NA,NA,286
"215",14100307,7,53033029403,7,1410030702,5,2,53033007300,NA,NA,NA,NA,294.03
"216",14100308,98,53033029306,7,1410030801,2,1,53033026300,NA,NA,NA,NA,293.06
"217",14100309,7,53033029502,2,1410030901,6,1,53033007200,0,0,0,5,295.02
"218",14100310,5,53033029602,4,1410031001,6,1,53033026200,NA,NA,NA,NA,296.02
"219",14100312,9,53033031703,7,1410031201,7,1,53033026300,NA,NA,NA,NA,317.03
"220",14100314,98,53033031907,7,1410031401,6,1,53033028801,NA,NA,NA,NA,319.07
"221",14100315,7,53033031909,2,1410031501,2,1,53033026200,NA,NA,NA,NA,319.09
"222",14100317,6,53033032003,2,1410031701,7,1,53033023201,NA,NA,NA,NA,320.03
"223",14100318,8,53033032203,7,1410031801,6,1,53061051925,NA,NA,NA,NA,322.03
"224",14100319,10,53033032213,8,1410031901,6,1,53033032213,0,0,0,NA,322.13
"225",14100320,7,53033032316,7,1410032002,6,2,53033021904,NA,NA,NA,NA,323.16
"226",14100321,6,53033032402,7,1410032101,6,1,53033032208,NA,NA,NA,NA,324.02
"227",14100322,8,53033032500,7,1410032202,6,2,53033023700,NA,NA,NA,NA,325
"228",14100323,7,53035092100,2,1410032301,6,1,53035092600,0,0,0,NA,921
"229",14100324,6,53053060800,2,1410032402,7,2,53053060800,NA,NA,NA,NA,608
"230",14100327,4,53053070315,8,1410032703,4,2,53033032703,NA,NA,NA,NA,703.15
"231",14100328,7,53053070315,1,1410032801,6,1,53033030401,NA,NA,NA,NA,703.15
"232",14100329,7,53033007000,7,1410032902,7,2,53033005302,NA,NA,NA,NA,70
"233",14100331,6,53053072410,7,1410033101,5,1,53053062801,NA,NA,NA,NA,724.1
"234",14100332,6,53053072800,1,1410033202,6,2,53053072903,NA,NA,NA,NA,728
"235",14100334,5,53053073110,7,1410033401,3,1,53053060200,NA,NA,NA,NA,731.1
"236",14100335,5,53053073115,2,1410033501,6,1,53053072905,NA,NA,NA,NA,731.15
"237",14100336,6,53053073121,1,1410033601,6,1,53053072907,NA,NA,NA,NA,731.21
"238",14100337,5,53053940008,7,1410033701,6,1,53053071207,NA,NA,NA,NA,9400.08
"239",14100339,5,53061041601,7,1410033901,7,1,53061051500,NA,NA,NA,NA,416.01
"240",14100340,7,53061041605,7,1410034002,3,2,53061040700,NA,NA,NA,NA,416.05
"241",14100341,98,53061041606,1,1410034101,7,1,53061052003,NA,NA,NA,NA,416.06
"242",14100342,8,53061042001,7,1410034201,6,1,53061041304,NA,NA,NA,NA,420.01
"243",14100343,5,53061052203,7,1410034302,6,2,53033010100,NA,NA,NA,NA,522.03
"244",14100344,6,53061052504,4,1410034401,7,1,53061040100,NA,NA,NA,NA,525.04
"245",14100345,98,53061053603,7,1410034501,2,1,53061052502,NA,NA,NA,NA,536.03
"246",14100347,7,53053071505,1,1410034701,5,1,53053072407,NA,NA,NA,NA,715.05
"247",14100350,98,53033000800,7,1410035002,7,2,53033000800,0,0,0,3,8
"250",14100353,8,53033002900,1,1410035301,7,1,53033008100,0,0,0,3,29
"251",14100354,7,53033005100,4,1410035401,6,1,53033028402,0,0,0,5,51
"252",14100356,7,53033009702,7,1410035602,3,2,53033010500,NA,NA,NA,NA,97.02
"253",14100360,5,53033026600,8,1410036001,2,1,53033010900,NA,NA,NA,NA,266
"254",14100363,4,53033028901,4,1410036301,3,1,53033029206,NA,NA,NA,NA,289.01
"255",14100365,4,53033029700,4,1410036501,3,1,53033026300,NA,NA,NA,NA,297
"256",14100367,3,53033030310,1,1410036701,3,1,53033011402,NA,NA,NA,NA,303.1
"257",14100368,5,53033030504,7,1410036802,2,2,53033030801,NA,NA,NA,NA,305.04
"259",14100370,4,53033031908,4,1410037001,6,1,53033028402,0,0,0,4,319.08
"260",14100371,2,53033032325,7,1410037101,7,1,53033032214,NA,NA,NA,NA,323.25
"261",14100373,7,53035080900,7,1410037301,6,1,53035081000,0,0,0,NA,809
"262",14100376,1,53035090501,6,1410037601,3,1,53035090201,0,0,0,NA,905.01
"263",14100377,98,53035091600,1,1410037702,3,2,53035090201,0,0,0,NA,916
"264",14100378,5,53035092803,2,1410037801,5,1,53053062600,NA,NA,NA,NA,928.03
"265",14100379,98,53053062801,6,1410037901,2,1,53053072310,NA,NA,NA,NA,628.01
"266",14100380,7,53053063300,7,1410038001,6,1,53053073405,NA,NA,NA,NA,633
"267",14100381,5,53053070204,4,1410038101,3,1,53053061100,NA,NA,NA,NA,702.04
"268",14100382,5,53053071403,7,1410038201,3,1,53053060500,NA,NA,NA,NA,714.03
"269",14100385,4,53061053802,2,1410038501,1,1,53033032401,NA,NA,NA,NA,538.02
"270",14100388,5,53033023804,6,1410038801,6,1,53033008100,0,0,0,3,238.04
"271",14100389,5,53033000100,1,1410038901,6,1,53033028402,NA,NA,NA,NA,1
"272",14100392,7,53033000402,4,1410039201,6,1,53033021903,NA,NA,NA,NA,4.02
"273",14100393,5,53033000402,7,1410039301,3,1,53033004700,NA,NA,NA,NA,4.02
"274",14100394,3,53033000600,6,1410039401,6,1,53033009000,NA,NA,NA,NA,6
"275",14100396,5,53033000700,1,1410039602,3,2,53033007500,0,0,0,5,7
"276",14100397,3,53033001300,1,1410039701,4,1,53033008001,0,0,0,NA,13
"277",14100398,6,53033005200,6,1410039801,6,1,53033007100,NA,NA,NA,NA,52
"278",14100400,6,53033005200,8,1410040001,6,1,53033008100,0,0,0,5,52
"279",14100405,3,53033004302,3,1410040501,6,1,53033011002,0,0,0,NA,43.02
"280",14100410,7,53033004100,7,1410041001,7,1,53033005302,1,0,0,6,41
"281",14100411,98,53033000200,7,1410041101,6,1,53033004400,NA,NA,NA,NA,2
"282",14100414,4,53033022802,3,1410041401,6,1,53033007300,0,0,0,3,228.02
"283",14100415,98,53061053802,4,1410041501,2,1,53061052203,0,0,0,3,538.02
"284",14100417,7,53061041901,7,1410041701,3,1,53033032329,NA,NA,NA,NA,419.01
"285",14100418,6,53061051702,1,1410041801,3,1,53033021802,NA,NA,NA,NA,517.02
"286",14100420,7,53053072602,7,1410042002,3,2,53053072504,0,0,0,NA,726.02
"287",14100422,7,53053073301,7,1410042201,5,1,53053061500,NA,NA,NA,NA,733.01
"288",14100423,5,53061040100,1,1410042301,3,1,53033023804,NA,NA,NA,NA,401
"289",14100424,5,53061040900,4,1410042401,6,1,53061041905,0,0,0,5,409
"290",14100425,3,53061041805,2,1410042501,7,1,53061042006,NA,NA,NA,NA,418.05
"291",14100426,6,53053061100,7,1410042601,7,1,53053071504,0,0,0,4,611
"292",14100427,7,53035092400,6,1410042702,6,2,53035081400,0,0,0,3,924
"293",14100428,4,53035090501,8,1410042801,7,1,53035090501,0,0,0,NA,905.01
"294",14100429,98,53035080102,7,1410042901,2,1,53053072800,NA,NA,NA,NA,801.02
"295",14100431,5,53033030310,2,1410043101,5,1,53033009300,NA,NA,NA,NA,303.1
"296",14100433,5,53033029001,4,1410043301,4,1,53033028403,NA,NA,NA,NA,290.01
"297",14100434,6,53033025804,4,1410043401,7,1,53033010900,NA,NA,NA,NA,258.04
"298",14100435,3,53033021600,4,1410043501,6,1,53033005302,1,0,0,4,216
"299",14100436,8,53033011102,2,1410043601,7,1,53033005900,NA,NA,NA,NA,111.02
"300",14100437,6,53033010702,2,1410043702,3,2,53033008100,0,0,0,5,107.02
"301",14100438,7,53033007800,7,1410043801,6,1,53033008200,0,0,0,4,78
"302",14100439,98,53033009600,5,1410043901,7,1,53033000600,0,0,0,5,96
"303",14100440,4,53061041400,2,1410044001,4,1,53061040100,NA,NA,NA,NA,414
"304",14100442,5,53033010402,7,1410044201,7,1,53033010002,0,0,0,5,104.02
"305",14100444,7,53061052301,2,1410044401,6,1,53061040700,NA,NA,NA,NA,523.01
"306",14100445,7,53061052302,2,1410044502,7,2,53033032309,NA,NA,NA,NA,523.02
"307",14100446,6,53061050102,1,1410044602,6,2,53061041304,NA,NA,NA,NA,501.02
"308",14100447,4,53061050700,1,1410044702,2,2,53033032309,NA,NA,NA,NA,507
"309",14100449,8,53061052003,2,1410044901,5,1,53033023804,NA,NA,NA,NA,520.03
"310",14100451,4,53061041805,4,1410045101,3,1,53061040700,0,0,0,NA,418.05
"311",14100452,5,53061041811,7,1410045201,7,1,53033021804,NA,NA,NA,NA,418.11
"312",14100454,3,53053073408,4,1410045401,3,1,53053071807,NA,NA,NA,NA,734.08
"314",14100457,4,53053072503,4,1410045701,5,1,53053072507,NA,NA,NA,NA,725.03
"315",14100458,7,53053072410,4,1410045801,7,1,53033030801,NA,NA,NA,NA,724.1
"316",14100460,2,53053072310,6,1410046001,6,1,53053940008,NA,NA,NA,NA,723.1
"317",14100462,8,53053071407,2,1410046201,6,1,53033008700,0,0,0,4,714.07
"318",14100463,6,53053071409,6,1410046301,3,1,53033005301,1,0,0,6,714.09
"319",14100464,4,53053071411,1,1410046402,3,2,53053072903,NA,NA,NA,NA,714.11
"320",14100465,98,53053070316,7,1410046501,6,1,53033026200,NA,NA,NA,NA,703.16
